,popularity,song_name,artist_name
359,80,pretty isn’t pretty,Olivia Rodrigo
360,77,I'm God,Clams Casino
361,77,"Gone, Gone, Gone",Phillip Phillips
362,82,Boulevard of Broken Dreams,Green Day
363,81,Oh My God,Adele
364,72,Gone Girl,SZA
365,83,California Love - Original Version,2Pac
366,73,Garden (Say It Like Dat),SZA
367,71,There Was This Girl,Riley Green
368,79,Oh Santa! (feat. Ariana Grande & Jennifer Hudson),Mariah Carey
369,76,greedy,Tate McRae
370,77,Loop Hole (feat. 21 Savage),Tee Grizzley
371,76,I Got 5 On It,Luniz
372,72,Green Room,Ken Carson
373,88,I Was Never There,The Weeknd
374,75,gold rush,Taylor Swift
375,81,Galway Girl,Ed Sheeran
376,79,I'm Gonna Be (500 Miles),The Proclaimers
377,70,The Greatest,Rod Wave
378,80,VVS,Peso Pluma
379,77,Brain Stew,Green Day
380,78,Wasted (feat. Lil Uzi Vert),Juice WRLD
381,74,"Where Are You Christmas - From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack",Faith Hill
382,87,All Girls Are The Same,Juice WRLD
383,87,Lil Boo Thang,Paul Russell
384,85,500lbs,Lil Tecca
385,85,rises the moon,Liana Flores
386,84,family ties (with Kendrick Lamar),Baby Keem
387,84,Out thë way,Yeat
388,83,"...And to Those I Love, Thanks for Sticking Around",$uicideboy$
389,92,Lover,Taylor Swift
390,82,Spotless (feat. The Lumineers),Zach Bryan
391,88,Paint The Town Red,Doja Cat
392,88,Runaway,Kanye West
393,86,Low Life (feat. The Weeknd),Future
394,87,Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj
395,90,Everybody Wants To Rule The World,Tears For Fears
396,85,Watch This - ARIZONATEARS Pluggnb Remix,Lil Uzi Vert
397,86,Last Night,Morgan Wallen
398,82,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift
399,85,XO Tour Llif3,Lil Uzi Vert
400,85,Out Of The Woods (Taylor's Version),Taylor Swift
401,86,Santa Claus Is Coming To Town,The Jackson 5
402,94,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd
403,81,O Tannenbaum,Vince Guaraldi Trio
404,82,MR. TAKE YA B*TCH (FEAT. CHRISEANROCK),Lil Mabu
405,83,I Want a Hippopotamus for Christmas (Hippo the Hero),Gayla Peevey
406,83,Suburban Legends (Taylor's Version) (From The Vault),Taylor Swift
407,79,For the Last Time,$uicideboy$
408,91,cardigan,Taylor Swift
409,79,Party In The U.S.A.,Miley Cyrus
410,84,SAY MY GRACE (feat. Travis Scott),Offset
411,87,Blank Space (Taylor's Version),Taylor Swift
412,86,All The Stars (with SZA),Kendrick Lamar
413,88,Mr. Brightside,The Killers
414,90,august,Taylor Swift
415,83,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",Kali Uchis
416,85,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",Bruce Springsteen
417,83,Happy Holiday / The Holiday Season,Andy Williams
418,87,Enchanted (Taylor's Version),Taylor Swift
419,88,Karma,Taylor Swift
420,87,Under the Bridge,Red Hot Chili Peppers
